subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,diseases,count,crude_se,population
41,6,75+,1,Female,1,NHW,BC,41091,416,9145660
42,6,75+,1,Female,2,NHB,BC,5114,157,1249362
43,6,75+,1,Female,3,HIS,BC,2025,64,737080
44,6,75+,1,Female,4,OTH,BC,2017,63,689818
45,6,75+,2,Male,1,NHW,BC,0,0,6831819
46,6,75+,2,Male,2,NHB,BC,0,0,670963
47,6,75+,2,Male,3,HIS,BC,0,0,548525
48,6,75+,2,Male,4,OTH,BC,0,0,638884
1,1,20-34,1,Female,1,NHW,CC,803,61,18192633
2,1,20-34,1,Female,2,NHB,CC,160,26,4596338
3,1,20-34,1,Female,3,HIS,CC,290,28,6549965
4,1,20-34,1,Female,4,OTH,CC,130,21,3878604
5,1,20-34,2,Male,1,NHW,CC,827,60,19295314
6,1,20-34,2,Male,2,NHB,CC,111,20,4186659
7,1,20-34,2,Male,3,HIS,CC,253,26,6886181
8,1,20-34,2,Male,4,OTH,CC,101,18,3785306
9,2,35-44,1,Female,1,NHW,CC,1742,85,10789518
10,2,35-44,1,Female,2,NHB,CC,587,51,2841551
11,2,35-44,1,Female,3,HIS,CC,587,43,4706043
12,2,35-44,1,Female,4,OTH,CC,324,33,2705155
13,2,35-44,2,Male,1,NHW,CC,2069,90,10698668
14,2,35-44,2,Male,2,NHB,CC,444,42,2373836
15,2,35-44,2,Male,3,HIS,CC,585,41,4477083
16,2,35-44,2,Male,4,OTH,CC,367,34,2268050
17,3,45-54,1,Female,1,NHW,CC,5415,156,12961330
18,3,45-54,1,Female,2,NHB,CC,1164,64,2294986
19,3,45-54,1,Female,3,HIS,CC,1116,52,2981376
20,3,45-54,1,Female,4,OTH,CC,796,45,1908325
21,3,45-54,2,Male,1,NHW,CC,6081,149,10622756
22,3,45-54,2,Male,2,NHB,CC,1476,77,2323392
23,3,45-54,2,Male,3,HIS,CC,1382,59,3207152
24,3,45-54,2,Male,4,OTH,CC,1756,86,2807268
25,4,55-64,1,Female,1,NHW,CC,9947,222,16626401
26,4,55-64,1,Female,2,NHB,CC,2489,110,3005374
27,4,55-64,1,Female,3,HIS,CC,1766,75,2911586
28,4,55-64,1,Female,4,OTH,CC,1770,84,2629488
29,4,55-64,2,Male,1,NHW,CC,13970,259,15564860
30,4,55-64,2,Male,2,NHB,CC,2309,94,2050599
31,4,55-64,2,Male,3,HIS,CC,2384,88,2832735
32,4,55-64,2,Male,4,OTH,CC,2184,93,2195076
33,5,65-74,1,Female,1,NHW,CC,11891,227,11513863
34,5,65-74,1,Female,2,NHB,CC,1864,82,1390166
35,5,65-74,1,Female,3,HIS,CC,1490,69,1616432
36,5,65-74,1,Female,4,OTH,CC,916,46,1089947
37,5,65-74,2,Male,1,NHW,CC,14501,251,10345066
38,5,65-74,2,Male,2,NHB,CC,2124,90,1099252
39,5,65-74,2,Male,3,HIS,CC,1715,68,1168063
40,5,65-74,2,Male,4,OTH,CC,1460,62,989548
41,6,75+,1,Female,1,NHW,CC,18004,276,9145660
42,6,75+,1,Female,2,NHB,CC,2255,105,1249362
43,6,75+,1,Female,3,HIS,CC,1092,47,737080
44,6,75+,1,Female,4,OTH,CC,1030,45,689818
45,6,75+,2,Male,1,NHW,CC,15376,259,6831819
46,6,75+,2,Male,2,NHB,CC,1687,87,670963
47,6,75+,2,Male,3,HIS,CC,1134,51,548525
48,6,75+,2,Male,4,OTH,CC,1166,55,638884
1,1,20-34,1,Female,1,NHW,CM,98,10,18192633
2,1,20-34,1,Female,2,NHB,CM,59,8,4596338
3,1,20-34,1,Female,3,HIS,CM,28,6,6549965
4,1,20-34,1,Female,4,OTH,CM,9,2,3878604
5,1,20-34,2,Male,1,NHW,CM,215,16,19295314
6,1,20-34,2,Male,2,NHB,CM,143,12,4186659
7,1,20-34,2,Male,3,HIS,CM,65,9,6886181
8,1,20-34,2,Male,4,OTH,CM,25,5,3785306
9,2,35-44,1,Female,1,NHW,CM,144,12,10789518
10,2,35-44,1,Female,2,NHB,CM,109,11,2841551
11,2,35-44,1,Female,3,HIS,CM,32,6,4706043
12,2,35-44,1,Female,4,OTH,CM,20,5,2705155
13,2,35-44,2,Male,1,NHW,CM,324,18,10698668
14,2,35-44,2,Male,2,NHB,CM,237,16,2373836
15,2,35-44,2,Male,3,HIS,CM,88,10,4477083
16,2,35-44,2,Male,4,OTH,CM,47,7,2268050
17,3,45-54,1,Female,1,NHW,CM,310,18,12961330
18,3,45-54,1,Female,2,NHB,CM,164,13,2294986
19,3,45-54,1,Female,3,HIS,CM,45,7,2981376
20,3,45-54,1,Female,4,OTH,CM,16,4,1908325
21,3,45-54,2,Male,1,NHW,CM,749,28,10622756
22,3,45-54,2,Male,2,NHB,CM,394,20,2323392
23,3,45-54,2,Male,3,HIS,CM,116,11,3207152
24,3,45-54,2,Male,4,OTH,CM,63,8,2807268
25,4,55-64,1,Female,1,NHW,CM,640,26,16626401
26,4,55-64,1,Female,2,NHB,CM,288,18,3005374
27,4,55-64,1,Female,3,HIS,CM,71,9,2911586
28,4,55-64,1,Female,4,OTH,CM,36,6,2629488
29,4,55-64,2,Male,1,NHW,CM,1465,38,15564860
30,4,55-64,2,Male,2,NHB,CM,594,25,2050599
31,4,55-64,2,Male,3,HIS,CM,173,14,2832735
32,4,55-64,2,Male,4,OTH,CM,91,10,2195076
33,5,65-74,1,Female,1,NHW,CM,982,32,11513863
34,5,65-74,1,Female,2,NHB,CM,316,18,1390166
35,5,65-74,1,Female,3,HIS,CM,78,9,1616432
36,5,65-74,1,Female,4,OTH,CM,44,7,1089947
37,5,65-74,2,Male,1,NHW,CM,2002,45,10345066
38,5,65-74,2,Male,2,NHB,CM,549,24,1099252
39,5,65-74,2,Male,3,HIS,CM,152,13,1168063
40,5,65-74,2,Male,4,OTH,CM,88,10,989548
41,6,75+,1,Female,1,NHW,CM,3851,88,9145660
42,6,75+,1,Female,2,NHB,CM,529,33,1249362
43,6,75+,1,Female,3,HIS,CM,296,25,737080
44,6,75+,1,Female,4,OTH,CM,137,17,689818
45,6,75+,2,Male,1,NHW,CM,4298,93,6831819
46,6,75+,2,Male,2,NHB,CM,482,31,670963
47,6,75+,2,Male,3,HIS,CM,289,25,548525
48,6,75+,2,Male,4,OTH,CM,144,17,638884
1,1,20-34,1,Female,1,NHW,CM_medBMI,98,10,18192633
2,1,20-34,1,Female,2,NHB,CM_medBMI,59,8,4596338
3,1,20-34,1,Female,3,HIS,CM_medBMI,28,6,6549965
4,1,20-34,1,Female,4,OTH,CM_medBMI,9,2,3878604
5,1,20-34,2,Male,1,NHW,CM_medBMI,215,16,19295314
6,1,20-34,2,Male,2,NHB,CM_medBMI,143,12,4186659
7,1,20-34,2,Male,3,HIS,CM_medBMI,65,9,6886181
8,1,20-34,2,Male,4,OTH,CM_medBMI,25,5,3785306
9,2,35-44,1,Female,1,NHW,CM_medBMI,144,12,10789518
10,2,35-44,1,Female,2,NHB,CM_medBMI,109,11,2841551
11,2,35-44,1,Female,3,HIS,CM_medBMI,32,6,4706043
12,2,35-44,1,Female,4,OTH,CM_medBMI,20,5,2705155
13,2,35-44,2,Male,1,NHW,CM_medBMI,324,18,10698668
14,2,35-44,2,Male,2,NHB,CM_medBMI,237,16,2373836
15,2,35-44,2,Male,3,HIS,CM_medBMI,88,10,4477083
16,2,35-44,2,Male,4,OTH,CM_medBMI,47,7,2268050
17,3,45-54,1,Female,1,NHW,CM_medBMI,310,18,12961330
18,3,45-54,1,Female,2,NHB,CM_medBMI,164,13,2294986
19,3,45-54,1,Female,3,HIS,CM_medBMI,45,7,2981376
20,3,45-54,1,Female,4,OTH,CM_medBMI,16,4,1908325
21,3,45-54,2,Male,1,NHW,CM_medBMI,749,28,10622756
22,3,45-54,2,Male,2,NHB,CM_medBMI,394,20,2323392
23,3,45-54,2,Male,3,HIS,CM_medBMI,116,11,3207152
24,3,45-54,2,Male,4,OTH,CM_medBMI,63,8,2807268
25,4,55-64,1,Female,1,NHW,CM_medBMI,640,26,16626401
26,4,55-64,1,Female,2,NHB,CM_medBMI,288,18,3005374
27,4,55-64,1,Female,3,HIS,CM_medBMI,71,9,2911586
28,4,55-64,1,Female,4,OTH,CM_medBMI,36,6,2629488
29,4,55-64,2,Male,1,NHW,CM_medBMI,1465,38,15564860
30,4,55-64,2,Male,2,NHB,CM_medBMI,594,25,2050599
31,4,55-64,2,Male,3,HIS,CM_medBMI,173,14,2832735
32,4,55-64,2,Male,4,OTH,CM_medBMI,91,10,2195076
33,5,65-74,1,Female,1,NHW,CM_medBMI,982,32,11513863
34,5,65-74,1,Female,2,NHB,CM_medBMI,316,18,1390166
35,5,65-74,1,Female,3,HIS,CM_medBMI,78,9,1616432
36,5,65-74,1,Female,4,OTH,CM_medBMI,44,7,1089947
37,5,65-74,2,Male,1,NHW,CM_medBMI,2002,45,10345066
38,5,65-74,2,Male,2,NHB,CM_medBMI,549,24,1099252
39,5,65-74,2,Male,3,HIS,CM_medBMI,152,13,1168063
40,5,65-74,2,Male,4,OTH,CM_medBMI,88,10,989548
41,6,75+,1,Female,1,NHW,CM_medBMI,3851,88,9145660
42,6,75+,1,Female,2,NHB,CM_medBMI,529,33,1249362
43,6,75+,1,Female,3,HIS,CM_medBMI,296,25,737080
44,6,75+,1,Female,4,OTH,CM_medBMI,137,17,689818
45,6,75+,2,Male,1,NHW,CM_medBMI,4298,93,6831819
46,6,75+,2,Male,2,NHB,CM_medBMI,482,31,670963
47,6,75+,2,Male,3,HIS,CM_medBMI,289,25,548525
48,6,75+,2,Male,4,OTH,CM_medBMI,144,17,638884
1,1,20-34,1,Female,1,NHW,CM_medSBP,98,10,18192633
2,1,20-34,1,Female,2,NHB,CM_medSBP,59,8,4596338
3,1,20-34,1,Female,3,HIS,CM_medSBP,28,6,6549965
4,1,20-34,1,Female,4,OTH,CM_medSBP,9,2,3878604
5,1,20-34,2,Male,1,NHW,CM_medSBP,215,16,19295314
6,1,20-34,2,Male,2,NHB,CM_medSBP,143,12,4186659
7,1,20-34,2,Male,3,HIS,CM_medSBP,65,9,6886181
8,1,20-34,2,Male,4,OTH,CM_medSBP,25,5,3785306
9,2,35-44,1,Female,1,NHW,CM_medSBP,144,12,10789518
10,2,35-44,1,Female,2,NHB,CM_medSBP,109,11,2841551
11,2,35-44,1,Female,3,HIS,CM_medSBP,32,6,4706043
12,2,35-44,1,Female,4,OTH,CM_medSBP,20,5,2705155
13,2,35-44,2,Male,1,NHW,CM_medSBP,324,18,10698668
14,2,35-44,2,Male,2,NHB,CM_medSBP,237,16,2373836
15,2,35-44,2,Male,3,HIS,CM_medSBP,88,10,4477083
16,2,35-44,2,Male,4,OTH,CM_medSBP,47,7,2268050
17,3,45-54,1,Female,1,NHW,CM_medSBP,310,18,12961330
18,3,45-54,1,Female,2,NHB,CM_medSBP,164,13,2294986
19,3,45-54,1,Female,3,HIS,CM_medSBP,45,7,2981376
20,3,45-54,1,Female,4,OTH,CM_medSBP,16,4,1908325
21,3,45-54,2,Male,1,NHW,CM_medSBP,749,28,10622756
22,3,45-54,2,Male,2,NHB,CM_medSBP,394,20,2323392
23,3,45-54,2,Male,3,HIS,CM_medSBP,116,11,3207152
24,3,45-54,2,Male,4,OTH,CM_medSBP,63,8,2807268
25,4,55-64,1,Female,1,NHW,CM_medSBP,640,26,16626401
26,4,55-64,1,Female,2,NHB,CM_medSBP,288,18,3005374
27,4,55-64,1,Female,3,HIS,CM_medSBP,71,9,2911586
28,4,55-64,1,Female,4,OTH,CM_medSBP,36,6,2629488
29,4,55-64,2,Male,1,NHW,CM_medSBP,1465,38,15564860
30,4,55-64,2,Male,2,NHB,CM_medSBP,594,25,2050599
31,4,55-64,2,Male,3,HIS,CM_medSBP,173,14,2832735
32,4,55-64,2,Male,4,OTH,CM_medSBP,91,10,2195076
33,5,65-74,1,Female,1,NHW,CM_medSBP,982,32,11513863
34,5,65-74,1,Female,2,NHB,CM_medSBP,316,18,1390166
35,5,65-74,1,Female,3,HIS,CM_medSBP,78,9,1616432
36,5,65-74,1,Female,4,OTH,CM_medSBP,44,7,1089947
37,5,65-74,2,Male,1,NHW,CM_medSBP,2002,45,10345066
38,5,65-74,2,Male,2,NHB,CM_medSBP,549,24,1099252
39,5,65-74,2,Male,3,HIS,CM_medSBP,152,13,1168063
40,5,65-74,2,Male,4,OTH,CM_medSBP,88,10,989548
41,6,75+,1,Female,1,NHW,CM_medSBP,3851,88,9145660
42,6,75+,1,Female,2,NHB,CM_medSBP,529,33,1249362
43,6,75+,1,Female,3,HIS,CM_medSBP,296,25,737080
44,6,75+,1,Female,4,OTH,CM_medSBP,137,17,689818
45,6,75+,2,Male,1,NHW,CM_medSBP,4298,93,6831819
46,6,75+,2,Male,2,NHB,CM_medSBP,482,31,670963
47,6,75+,2,Male,3,HIS,CM_medSBP,289,25,548525
48,6,75+,2,Male,4,OTH,CM_medSBP,144,17,638884
1,1,20-34,1,Female,1,NHW,DIAB,169,13,18192633
2,1,20-34,1,Female,2,NHB,DIAB,109,11,4596338
3,1,20-34,1,Female,3,HIS,DIAB,39,7,6549965
4,1,20-34,1,Female,4,OTH,DIAB,10,4,3878604
5,1,20-34,2,Male,1,NHW,DIAB,263,16,19295314
6,1,20-34,2,Male,2,NHB,DIAB,148,12,4186659
7,1,20-34,2,Male,3,HIS,DIAB,59,8,6886181
8,1,20-34,2,Male,4,OTH,DIAB,21,5,3785306
9,2,35-44,1,Female,1,NHW,DIAB,389,21,10789518
10,2,35-44,1,Female,2,NHB,DIAB,241,16,2841551
11,2,35-44,1,Female,3,HIS,DIAB,75,9,4706043
12,2,35-44,1,Female,4,OTH,DIAB,41,7,2705155
13,2,35-44,2,Male,1,NHW,DIAB,636,26,10698668
14,2,35-44,2,Male,2,NHB,DIAB,381,20,2373836
15,2,35-44,2,Male,3,HIS,DIAB,192,14,4477083
16,2,35-44,2,Male,4,OTH,DIAB,81,10,2268050
17,3,45-54,1,Female,1,NHW,DIAB,1108,33,12961330
18,3,45-54,1,Female,2,NHB,DIAB,606,25,2294986
19,3,45-54,1,Female,3,HIS,DIAB,281,17,2981376
20,3,45-54,1,Female,4,OTH,DIAB,99,11,1908325
21,3,45-54,2,Male,1,NHW,DIAB,2078,46,10622756
22,3,45-54,2,Male,2,NHB,DIAB,837,29,2323392
23,3,45-54,2,Male,3,HIS,DIAB,519,23,3207152
24,3,45-54,2,Male,4,OTH,DIAB,170,14,2807268
25,4,55-64,1,Female,1,NHW,DIAB,2868,54,16626401
26,4,55-64,1,Female,2,NHB,DIAB,1189,35,3005374
27,4,55-64,1,Female,3,HIS,DIAB,525,23,2911586
28,4,55-64,1,Female,4,OTH,DIAB,194,14,2629488
29,4,55-64,2,Male,1,NHW,DIAB,5368,73,15564860
30,4,55-64,2,Male,2,NHB,DIAB,1726,42,2050599
31,4,55-64,2,Male,3,HIS,DIAB,923,31,2832735
32,4,55-64,2,Male,4,OTH,DIAB,362,20,2195076
33,5,65-74,1,Female,1,NHW,DIAB,4785,70,11513863
34,5,65-74,1,Female,2,NHB,DIAB,1617,41,1390166
35,5,65-74,1,Female,3,HIS,DIAB,796,29,1616432
36,5,65-74,1,Female,4,OTH,DIAB,316,18,1089947
37,5,65-74,2,Male,1,NHW,DIAB,7948,89,10345066
38,5,65-74,2,Male,2,NHB,DIAB,1915,44,1099252
39,5,65-74,2,Male,3,HIS,DIAB,1023,32,1168063
40,5,65-74,2,Male,4,OTH,DIAB,459,22,989548
41,6,75+,1,Female,1,NHW,DIAB,11096,150,9145660
42,6,75+,1,Female,2,NHB,DIAB,2722,74,1249362
43,6,75+,1,Female,3,HIS,DIAB,1622,57,737080
44,6,75+,1,Female,4,OTH,DIAB,855,42,689818
45,6,75+,2,Male,1,NHW,DIAB,11960,155,6831819
46,6,75+,2,Male,2,NHB,DIAB,1872,61,670963
47,6,75+,2,Male,3,HIS,DIAB,1428,54,548525
48,6,75+,2,Male,4,OTH,DIAB,695,38,638884
1,1,20-34,1,Female,1,NHW,DIAB_medBMI,169,13,18192633
2,1,20-34,1,Female,2,NHB,DIAB_medBMI,109,11,4596338
3,1,20-34,1,Female,3,HIS,DIAB_medBMI,39,7,6549965
4,1,20-34,1,Female,4,OTH,DIAB_medBMI,10,4,3878604
5,1,20-34,2,Male,1,NHW,DIAB_medBMI,263,16,19295314
6,1,20-34,2,Male,2,NHB,DIAB_medBMI,148,12,4186659
7,1,20-34,2,Male,3,HIS,DIAB_medBMI,59,8,6886181
8,1,20-34,2,Male,4,OTH,DIAB_medBMI,21,5,3785306
9,2,35-44,1,Female,1,NHW,DIAB_medBMI,389,21,10789518
10,2,35-44,1,Female,2,NHB,DIAB_medBMI,241,16,2841551
11,2,35-44,1,Female,3,HIS,DIAB_medBMI,75,9,4706043
12,2,35-44,1,Female,4,OTH,DIAB_medBMI,41,7,2705155
13,2,35-44,2,Male,1,NHW,DIAB_medBMI,636,26,10698668
14,2,35-44,2,Male,2,NHB,DIAB_medBMI,381,20,2373836
15,2,35-44,2,Male,3,HIS,DIAB_medBMI,192,14,4477083
16,2,35-44,2,Male,4,OTH,DIAB_medBMI,81,10,2268050
17,3,45-54,1,Female,1,NHW,DIAB_medBMI,1108,33,12961330
18,3,45-54,1,Female,2,NHB,DIAB_medBMI,606,25,2294986
19,3,45-54,1,Female,3,HIS,DIAB_medBMI,281,17,2981376
20,3,45-54,1,Female,4,OTH,DIAB_medBMI,99,11,1908325
21,3,45-54,2,Male,1,NHW,DIAB_medBMI,2078,46,10622756
22,3,45-54,2,Male,2,NHB,DIAB_medBMI,837,29,2323392
23,3,45-54,2,Male,3,HIS,DIAB_medBMI,519,23,3207152
24,3,45-54,2,Male,4,OTH,DIAB_medBMI,170,14,2807268
25,4,55-64,1,Female,1,NHW,DIAB_medBMI,2868,54,16626401
26,4,55-64,1,Female,2,NHB,DIAB_medBMI,1189,35,3005374
27,4,55-64,1,Female,3,HIS,DIAB_medBMI,525,23,2911586
28,4,55-64,1,Female,4,OTH,DIAB_medBMI,194,14,2629488
29,4,55-64,2,Male,1,NHW,DIAB_medBMI,5368,73,15564860
30,4,55-64,2,Male,2,NHB,DIAB_medBMI,1726,42,2050599
31,4,55-64,2,Male,3,HIS,DIAB_medBMI,923,31,2832735
32,4,55-64,2,Male,4,OTH,DIAB_medBMI,362,20,2195076
33,5,65-74,1,Female,1,NHW,DIAB_medBMI,4785,70,11513863
34,5,65-74,1,Female,2,NHB,DIAB_medBMI,1617,41,1390166
35,5,65-74,1,Female,3,HIS,DIAB_medBMI,796,29,1616432
36,5,65-74,1,Female,4,OTH,DIAB_medBMI,316,18,1089947
37,5,65-74,2,Male,1,NHW,DIAB_medBMI,7948,89,10345066
38,5,65-74,2,Male,2,NHB,DIAB_medBMI,1915,44,1099252
39,5,65-74,2,Male,3,HIS,DIAB_medBMI,1023,32,1168063
40,5,65-74,2,Male,4,OTH,DIAB_medBMI,459,22,989548
41,6,75+,1,Female,1,NHW,DIAB_medBMI,11096,150,9145660
42,6,75+,1,Female,2,NHB,DIAB_medBMI,2722,74,1249362
43,6,75+,1,Female,3,HIS,DIAB_medBMI,1622,57,737080
44,6,75+,1,Female,4,OTH,DIAB_medBMI,855,42,689818
45,6,75+,2,Male,1,NHW,DIAB_medBMI,11960,155,6831819
46,6,75+,2,Male,2,NHB,DIAB_medBMI,1872,61,670963
47,6,75+,2,Male,3,HIS,DIAB_medBMI,1428,54,548525
48,6,75+,2,Male,4,OTH,DIAB_medBMI,695,38,638884
1,1,20-34,1,Female,1,NHW,DIAB_medSBP,169,13,18192633
2,1,20-34,1,Female,2,NHB,DIAB_medSBP,109,11,4596338
3,1,20-34,1,Female,3,HIS,DIAB_medSBP,39,7,6549965
4,1,20-34,1,Female,4,OTH,DIAB_medSBP,10,4,3878604
5,1,20-34,2,Male,1,NHW,DIAB_medSBP,263,16,19295314
6,1,20-34,2,Male,2,NHB,DIAB_medSBP,148,12,4186659
7,1,20-34,2,Male,3,HIS,DIAB_medSBP,59,8,6886181
8,1,20-34,2,Male,4,OTH,DIAB_medSBP,21,5,3785306
9,2,35-44,1,Female,1,NHW,DIAB_medSBP,389,21,10789518
10,2,35-44,1,Female,2,NHB,DIAB_medSBP,241,16,2841551
11,2,35-44,1,Female,3,HIS,DIAB_medSBP,75,9,4706043
12,2,35-44,1,Female,4,OTH,DIAB_medSBP,41,7,2705155
13,2,35-44,2,Male,1,NHW,DIAB_medSBP,636,26,10698668
14,2,35-44,2,Male,2,NHB,DIAB_medSBP,381,20,2373836
15,2,35-44,2,Male,3,HIS,DIAB_medSBP,192,14,4477083
16,2,35-44,2,Male,4,OTH,DIAB_medSBP,81,10,2268050
17,3,45-54,1,Female,1,NHW,DIAB_medSBP,1108,33,12961330
18,3,45-54,1,Female,2,NHB,DIAB_medSBP,606,25,2294986
19,3,45-54,1,Female,3,HIS,DIAB_medSBP,281,17,2981376
20,3,45-54,1,Female,4,OTH,DIAB_medSBP,99,11,1908325
21,3,45-54,2,Male,1,NHW,DIAB_medSBP,2078,46,10622756
22,3,45-54,2,Male,2,NHB,DIAB_medSBP,837,29,2323392
23,3,45-54,2,Male,3,HIS,DIAB_medSBP,519,23,3207152
24,3,45-54,2,Male,4,OTH,DIAB_medSBP,170,14,2807268
25,4,55-64,1,Female,1,NHW,DIAB_medSBP,2868,54,16626401
26,4,55-64,1,Female,2,NHB,DIAB_medSBP,1189,35,3005374
27,4,55-64,1,Female,3,HIS,DIAB_medSBP,525,23,2911586
28,4,55-64,1,Female,4,OTH,DIAB_medSBP,194,14,2629488
29,4,55-64,2,Male,1,NHW,DIAB_medSBP,5368,73,15564860
30,4,55-64,2,Male,2,NHB,DIAB_medSBP,1726,42,2050599
31,4,55-64,2,Male,3,HIS,DIAB_medSBP,923,31,2832735
32,4,55-64,2,Male,4,OTH,DIAB_medSBP,362,20,2195076
33,5,65-74,1,Female,1,NHW,DIAB_medSBP,4785,70,11513863
34,5,65-74,1,Female,2,NHB,DIAB_medSBP,1617,41,1390166
35,5,65-74,1,Female,3,HIS,DIAB_medSBP,796,29,1616432
36,5,65-74,1,Female,4,OTH,DIAB_medSBP,316,18,1089947
37,5,65-74,2,Male,1,NHW,DIAB_medSBP,7948,89,10345066
38,5,65-74,2,Male,2,NHB,DIAB_medSBP,1915,44,1099252
39,5,65-74,2,Male,3,HIS,DIAB_medSBP,1023,32,1168063
40,5,65-74,2,Male,4,OTH,DIAB_medSBP,459,22,989548
41,6,75+,1,Female,1,NHW,DIAB_medSBP,11096,150,9145660
42,6,75+,1,Female,2,NHB,DIAB_medSBP,2722,74,1249362
43,6,75+,1,Female,3,HIS,DIAB_medSBP,1622,57,737080
44,6,75+,1,Female,4,OTH,DIAB_medSBP,855,42,689818
45,6,75+,2,Male,1,NHW,DIAB_medSBP,11960,155,6831819
46,6,75+,2,Male,2,NHB,DIAB_medSBP,1872,61,670963
47,6,75+,2,Male,3,HIS,DIAB_medSBP,1428,54,548525
48,6,75+,2,Male,4,OTH,DIAB_medSBP,695,38,638884
1,1,20-34,1,Female,1,NHW,ECA,9,6,18192633
2,1,20-34,1,Female,2,NHB,ECA,0,0,4596338
3,1,20-34,1,Female,3,HIS,ECA,3,3,6549965
4,1,20-34,1,Female,4,OTH,ECA,0,0,3878604
5,1,20-34,2,Male,1,NHW,ECA,36,14,19295314
6,1,20-34,2,Male,2,NHB,ECA,0,0,4186659
7,1,20-34,2,Male,3,HIS,ECA,11,5,6886181
8,1,20-34,2,Male,4,OTH,ECA,0,0,3785306
9,2,35-44,1,Female,1,NHW,ECA,0,0,10789518
10,2,35-44,1,Female,2,NHB,ECA,5,5,2841551
11,2,35-44,1,Female,3,HIS,ECA,0,0,4706043
12,2,35-44,1,Female,4,OTH,ECA,4,4,2705155
13,2,35-44,2,Male,1,NHW,ECA,139,24,10698668
14,2,35-44,2,Male,2,NHB,ECA,8,6,2373836
15,2,35-44,2,Male,3,HIS,ECA,23,9,4477083
16,2,35-44,2,Male,4,OTH,ECA,13,7,2268050
17,3,45-54,1,Female,1,NHW,ECA,111,23,12961330
18,3,45-54,1,Female,2,NHB,ECA,4,4,2294986
19,3,45-54,1,Female,3,HIS,ECA,12,6,2981376
20,3,45-54,1,Female,4,OTH,ECA,6,4,1908325
21,3,45-54,2,Male,1,NHW,ECA,619,48,10622756
22,3,45-54,2,Male,2,NHB,ECA,16,8,2323392
23,3,45-54,2,Male,3,HIS,ECA,65,13,3207152
24,3,45-54,2,Male,4,OTH,ECA,13,8,2807268
25,4,55-64,1,Female,1,NHW,ECA,291,39,16626401
26,4,55-64,1,Female,2,NHB,ECA,25,11,3005374
27,4,55-64,1,Female,3,HIS,ECA,16,7,2911586
28,4,55-64,1,Female,4,OTH,ECA,8,6,2629488
29,4,55-64,2,Male,1,NHW,ECA,2319,106,15564860
30,4,55-64,2,Male,2,NHB,ECA,77,18,2050599
31,4,55-64,2,Male,3,HIS,ECA,158,23,2832735
32,4,55-64,2,Male,4,OTH,ECA,67,17,2195076
33,5,65-74,1,Female,1,NHW,ECA,374,41,11513863
34,5,65-74,1,Female,2,NHB,ECA,18,8,1390166
35,5,65-74,1,Female,3,HIS,ECA,35,11,1616432
36,5,65-74,1,Female,4,OTH,ECA,3,3,1089947
37,5,65-74,2,Male,1,NHW,ECA,2921,112,10345066
38,5,65-74,2,Male,2,NHB,ECA,60,15,1099252
39,5,65-74,2,Male,3,HIS,ECA,158,21,1168063
40,5,65-74,2,Male,4,OTH,ECA,63,13,989548
41,6,75+,1,Female,1,NHW,ECA,534,48,9145660
42,6,75+,1,Female,2,NHB,ECA,25,11,1249362
43,6,75+,1,Female,3,HIS,ECA,23,7,737080
44,6,75+,1,Female,4,OTH,ECA,14,6,689818
45,6,75+,2,Male,1,NHW,ECA,2293,100,6831819
46,6,75+,2,Male,2,NHB,ECA,67,18,670963
47,6,75+,2,Male,3,HIS,ECA,67,13,548525
48,6,75+,2,Male,4,OTH,ECA,52,12,638884
1,1,20-34,1,Female,1,NHW,ENDO,74,10,18192633
2,1,20-34,1,Female,2,NHB,ENDO,9,2,4596338
3,1,20-34,1,Female,3,HIS,ENDO,9,2,6549965
4,1,20-34,1,Female,4,OTH,ENDO,8,1,3878604
5,1,20-34,2,Male,1,NHW,ENDO,63,8,19295314
6,1,20-34,2,Male,2,NHB,ENDO,9,2,4186659
7,1,20-34,2,Male,3,HIS,ENDO,13,4,6886181
8,1,20-34,2,Male,4,OTH,ENDO,8,1,3785306
9,2,35-44,1,Female,1,NHW,ENDO,50,8,10789518
10,2,35-44,1,Female,2,NHB,ENDO,10,4,2841551
11,2,35-44,1,Female,3,HIS,ENDO,9,2,4706043
12,2,35-44,1,Female,4,OTH,ENDO,6,1,2705155
13,2,35-44,2,Male,1,NHW,ENDO,66,9,10698668
14,2,35-44,2,Male,2,NHB,ENDO,13,4,2373836
15,2,35-44,2,Male,3,HIS,ENDO,16,4,4477083
16,2,35-44,2,Male,4,OTH,ENDO,9,1,2268050
17,3,45-54,1,Female,1,NHW,ENDO,44,7,12961330
18,3,45-54,1,Female,2,NHB,ENDO,12,4,2294986
19,3,45-54,1,Female,3,HIS,ENDO,9,2,2981376
20,3,45-54,1,Female,4,OTH,ENDO,5,1,1908325
21,3,45-54,2,Male,1,NHW,ENDO,92,10,10622756
22,3,45-54,2,Male,2,NHB,ENDO,16,4,2323392
23,3,45-54,2,Male,3,HIS,ENDO,15,4,3207152
24,3,45-54,2,Male,4,OTH,ENDO,9,1,2807268
25,4,55-64,1,Female,1,NHW,ENDO,77,10,16626401
26,4,55-64,1,Female,2,NHB,ENDO,24,5,3005374
27,4,55-64,1,Female,3,HIS,ENDO,10,4,2911586
28,4,55-64,1,Female,4,OTH,ENDO,8,1,2629488
